TID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
1,1,1,0,1,0,0,1,1,1,1
2,1,0,1,1,0,0,0,1,0,1
3,0,0,1,1,0,0,1,1,0,1
4,1,0,1,1,0,0,0,0,1,1
5,1,0,1,0,0,0,0,0,0,1
6,1,0,1,0,1,1,0,1,1,0
7,1,1,1,1,0,1,1,1,0,1
8,1,1,1,1,0,0,1,1,0,0
9,0,0,0,1,0,1,0,0,1,0
10,1,1,0,0,0,1,1,0,0,1
11,1,0,1,1,0,1,0,0,0,0
12,0,0,1,1,0,0,0,0,1,0
13,0,1,1,0,1,1,1,1,1,1
14,1,0,0,1,0,0,1,1,0,0
15,1,0,0,1,1,1,1,0,1,0
16,1,0,0,1,0,0,1,1,0,1
17,0,0,1,1,0,1,0,1,1,0
18,1,1,0,1,1,0,0,0,0,1
19,1,0,1,0,0,0,1,0,1,0
20,1,0,1,0,0,0,1,0,1,1
21,0,1,0,0,0,0,1,0,1,1
22,1,1,1,0,1,0,1,1,0,0
23,1,1,0,0,1,0,0,1,0,1
24,0,0,1,0,0,0,1,0,1,1
25,0,1,0,1,1,0,1,0,1,1
26,0,1,1,0,1,1,1,0,1,0
27,0,0,0,0,1,0,0,1,0,0
28,1,0,0,1,1,0,1,0,1,0
29,1,1,0,1,0,1,0,0,1,1
30,0,1,0,1,1,0,0,1,0,0
31,1,1,1,1,1,0,1,0,0,0
32,1,0,1,0,1,1,0,0,1,1
33,1,1,1,1,0,1,1,1,0,0
34,0,0,1,1,1,0,1,1,0,0
35,1,1,1,1,0,1,0,0,1,0
36,0,1,1,1,0,1,0,1,0,1
37,1,1,0,1,1,1,1,1,0,0
38,0,0,0,1,1,0,1,0,0,0
39,0,1,1,0,0,1,0,0,1,1
40,0,1,0,1,0,0,1,1,0,0
41,0,1,1,0,0,0,1,0,1,1
42,0,1,0,1,1,0,1,0,1,0
43,0,1,1,1,1,1,1,0,0,0
44,1,1,1,0,0,1,1,0,1,0
45,1,1,1,1,0,0,0,1,0,0
46,0,0,0,0,0,1,0,1,1,0
47,0,1,0,1,0,0,0,1,0,1
48,1,1,1,1,0,0,0,1,0,1
49,1,0,0,1,0,1,1,0,1,1
50,0,1,0,0,0,0,0,1,1,0
